Category,Type,Water (g),Calories (kcal),Nitrogen (g),Protein (g),Fat (g),Carbs (g),Ash (g),Starch (g),Resistant starch (g),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),Copper (mg),Manganese (mg)
Beans,"black, canned, sodium added, drained and rinsed",70.8,118.0,1.11,6.91,1.27,19.8,1.21,11.8,2.0,1.69,32.5,91.0,253.0,218.0,0.74,0.34,0.33
Beans,"cannellini, canned, sodium added, drained and rinsed",71.5,115.0,1.19,7.41,1.17,18.8,1.07,11.3,2.0,1.4,29.3,94.7,203.0,164.0,0.52,0.22,0.37
Beans,"cannellini, dry",12.3,345.0,3.45,21.6,2.2,59.8,4.14,29.9,33.0,6.67,154.0,412.0,1420.0,0.0,2.72,0.74,1.78
Beans,"Dry, Black (0% moisture)",0.0,0.0,0.0,24.4,1.45,0.0,0.0,36.6,0.0,5.34,180.0,522.0,1540.0,0.0,3.37,1.12,2.08
Beans,"Dry, Brown (0% moisture)",0.0,0.0,0.0,25.6,1.12,0.0,0.0,37.2,0.0,4.7,158.0,543.0,1580.0,0.0,3.71,1.03,1.87
Beans,"Dry, Carioca (0% moisture)",0.0,0.0,0.0,25.2,1.44,0.0,0.0,36.0,0.0,5.87,179.0,535.0,1390.0,0.0,3.36,1.04,1.93
Beans,"Dry, Cranberry (0% moisture)",0.0,0.0,0.0,24.4,1.23,0.0,0.0,36.3,0.0,5.26,166.0,487.0,1340.0,0.0,3.03,0.76,1.78
Beans,"Dry, Dark Red Kidney (0% moisture)",0.0,0.0,0.0,25.9,1.31,0.0,0.0,36.7,0.0,6.58,164.0,612.0,1490.0,0.0,3.29,0.86,1.67
Beans,"Dry, Flor de Mayo (0% moisture)",0.0,0.0,0.0,23.3,0.86,0.0,0.0,40.0,0.0,4.47,182.0,439.0,1490.0,0.0,3.42,0.86,1.7
Beans,"Dry, Great Northern (0% moisture)",0.0,0.0,0.0,24.7,1.24,0.0,0.0,37.9,0.0,5.48,176.0,519.0,1520.0,0.0,3.45,1.08,1.9
Beans,"Dry, Light Red Kidney (0% moisture)",0.0,0.0,0.0,25.0,1.03,0.0,0.0,36.6,0.0,6.95,158.0,549.0,1540.0,0.0,3.5,0.79,1.52
Beans,"Dry, Light Tan (0% moisture)",0.0,0.0,0.0,24.6,1.28,0.0,0.0,37.6,0.0,7.29,178.0,571.0,1230.0,0.0,3.23,0.93,1.69
Beans,"Dry, Medium Red (0% moisture)",0.0,0.0,0.0,25.5,1.04,0.0,0.0,35.4,0.0,6.27,178.0,548.0,1490.0,0.0,3.82,1.04,2.05
Beans,"Dry, Navy (0% moisture)",0.0,0.0,0.0,24.1,1.51,0.0,0.0,38.1,0.0,5.29,180.0,523.0,1470.0,0.0,3.31,1.14,2.22
Beans,"Dry, Pink (0% moisture)",0.0,0.0,0.0,23.4,1.2,0.0,0.0,38.1,0.0,5.46,164.0,491.0,1490.0,0.0,3.26,0.95,1.7
Beans,"Dry, Pinto (0% moisture)",0.0,0.0,0.0,23.7,1.24,0.0,0.0,38.5,0.0,5.4,170.0,507.0,1510.0,0.0,3.43,0.98,1.78
Beans,"Dry, Red (0% moisture)",0.0,0.0,0.0,21.3,1.16,0.0,0.0,39.7,0.0,5.05,152.0,380.0,1540.0,0.0,2.84,0.96,1.93
Beans,"Dry, Small Red (0% moisture)",0.0,0.0,0.0,23.5,1.28,0.0,0.0,37.8,0.0,4.95,167.0,493.0,1520.0,0.0,3.23,0.97,1.76
Beans,"Dry, Small White (0% moisture)",0.0,0.0,0.0,24.5,1.32,0.0,0.0,37.5,0.0,4.93,182.0,533.0,1540.0,0.0,3.54,1.05,2.07
Beans,"Dry, Tan (0% moisture)",0.0,0.0,0.0,26.8,1.14,0.0,0.0,36.0,0.0,5.85,198.0,555.0,1620.0,0.0,3.5,1.1,2.16
Beans,"great northern, canned, sodium added, drained and rinsed",71.2,117.0,1.12,7.03,1.27,19.3,1.21,11.7,2.0,1.38,29.3,88.6,213.0,223.0,0.64,0.26,0.46
Beans,"kidney, dark red, canned, sodium added, sugar added, drained and rinsed",68.8,127.0,1.25,7.8,1.26,21.0,1.09,12.2,2.0,1.44,29.3,104.0,227.0,172.0,0.56,0.27,0.33
Beans,"kidney, light red, canned, sodium added, sugar added, drained and rinsed",68.9,127.0,1.17,7.31,1.3,21.4,1.02,13.1,2.0,1.3,25.5,93.6,209.0,158.0,0.53,0.27,0.34
Beans,"navy, canned, sodium added, drained and rinsed",71.0,119.0,1.05,6.57,1.4,20.0,1.09,12.1,2.0,1.6,29.6,86.7,184.0,190.0,0.63,0.29,0.38
Beans,"pinto, canned, sodium added, drained and rinsed",71.3,117.0,1.07,6.69,1.27,19.6,1.11,11.6,2.0,1.28,27.5,83.1,210.0,202.0,0.62,0.26,0.32
Blackeye pea,"canned, sodium added, drained and rinsed",71.6,116.0,1.11,6.92,1.3,19.2,0.99,13.6,1.0,1.08,27.3,83.0,138.0,227.0,0.66,0.28,0.22
Blackeye pea,dry,11.0,354.0,3.4,21.2,2.42,61.8,3.51,37.4,6.0,5.93,184.0,428.0,1240.0,3.46,3.65,0.94,1.29
Chickpeas (garbanzo beans,"bengal gram), canned, sodium added, drained and rinsed",68.6,137.0,1.12,7.02,3.1,20.3,0.98,12.8,2.0,1.04,28.4,86.5,137.0,202.0,0.72,0.27,0.74
Chickpeas,"(garbanzo beans, bengal gram), dry",8.77,383.0,3.4,21.3,6.27,60.4,3.32,34.1,7.0,5.09,135.0,353.0,1070.0,8.78,3.12,0.8,3.58
Flour,"soy, defatted",6.24,0.0,8.18,51.1,3.33,32.9,6.45,0.0,0.0,7.34,313.0,726.0,2480.0,2.0,4.44,1.51,3.81
Flour,"soy, full-fat",7.85,0.0,6.18,38.6,20.7,27.9,4.92,0.0,0.0,9.51,254.0,607.0,1860.0,2.0,3.75,1.09,3.16
Hummus,commercial,58.7,0.0,1.18,7.35,17.1,14.9,1.97,8.12,0.0,2.41,71.1,166.0,289.0,438.0,1.38,0.35,1.06
Lentils,dry,9.45,360.0,3.77,23.6,1.92,62.2,2.88,37.1,16.0,7.16,107.0,374.0,949.0,0.0,3.86,0.84,1.57
Peanut butter,creamy,1.1,632.0,4.39,24.0,49.4,22.7,2.77,0.0,0.0,1.85,193.0,393.0,654.0,221.0,3.06,0.54,1.68
Peanuts,raw,4.82,588.0,4.25,23.2,43.3,26.5,2.2,0.0,0.0,1.55,180.0,380.0,636.0,1.49,2.78,0.46,1.68